2014-10-05 23:06:04,325 INFO Parsing pair_id: 5510
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10110
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10192
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10193
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10190
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10213
2014-10-05 23:06:04,325 WARNING Disjointers: I-395 and I-90
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10360
2014-10-05 23:06:04,325 INFO Parsing pair_id: 10105
2014-10-05 23:06:04,325 WARNING Disjointers: I-495 and I-90
2014-10-05 23:06:04,325 INFO Parsing pair_id: 9650
2014-10-05 23:06:04,325 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,325 INFO Parsing pair_id: 5498
2014-10-05 23:06:04,325 INFO Parsing pair_id: 5499
2014-10-05 23:06:04,325 INFO Parsing pair_id: 5494
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5495
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5496
2014-10-05 23:06:04,326 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5497
2014-10-05 23:06:04,326 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5490
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5491
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5492
2014-10-05 23:06:04,326 WARNING Disjointers: I-495 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5493
2014-10-05 23:06:04,326 WARNING Disjointers: I-495 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5568
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5569
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5564
2014-10-05 23:06:04,326 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5565
2014-10-05 23:06:04,326 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5566
2014-10-05 23:06:04,326 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,326 INFO Parsing pair_id: 5567
2014-10-05 23:06:04,326 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5560
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5561
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5562
2014-10-05 23:06:04,327 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5563
2014-10-05 23:06:04,327 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,327 INFO Parsing pair_id: 10184
2014-10-05 23:06:04,327 INFO Parsing pair_id: 10182
2014-10-05 23:06:04,327 INFO Parsing pair_id: 10187
2014-10-05 23:06:04,327 INFO Parsing pair_id: 9649
2014-10-05 23:06:04,327 INFO Parsing pair_id: 9648
2014-10-05 23:06:04,327 INFO Parsing pair_id: 9647
2014-10-05 23:06:04,327 INFO Parsing pair_id: 9646
2014-10-05 23:06:04,327 INFO Parsing pair_id: 10180
2014-10-05 23:06:04,327 WARNING Disjointers: Rte. and Rte
2014-10-05 23:06:04,327 INFO Parsing pair_id: 10183
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5579
2014-10-05 23:06:04,327 WARNING Disjointers: I-495 and I-93
2014-10-05 23:06:04,327 INFO Parsing pair_id: 5578
2014-10-05 23:06:04,327 WARNING Disjointers: I-93 and I-495
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5577
2014-10-05 23:06:04,328 WARNING Disjointers: I-495 and I-93
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5575
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5574
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5573
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5572
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5571
2014-10-05 23:06:04,328 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,328 INFO Parsing pair_id: 5570
2014-10-05 23:06:04,328 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10387
2014-10-05 23:06:04,328 WARNING Disjointers: I-90 and I-495
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10386
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10385
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10384
2014-10-05 23:06:04,328 WARNING Disjointers: I-95 and I-90
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10383
2014-10-05 23:06:04,328 WARNING Disjointers: I-95 and I-90
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10382
2014-10-05 23:06:04,328 INFO Parsing pair_id: 10381
2014-10-05 23:06:04,328 WARNING Disjointers: I-90 and I-95
2014-10-05 23:06:04,329 INFO Parsing pair_id: 10380
2014-10-05 23:06:04,329 WARNING Disjointers: I-90 and I-95
2014-10-05 23:06:04,329 INFO Parsing pair_id: 10374
2014-10-05 23:06:04,329 INFO Parsing pair_id: 10389
2014-10-05 23:06:04,329 INFO Parsing pair_id: 10388
2014-10-05 23:06:04,329 WARNING Disjointers: I-90 and I-495
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5548
2014-10-05 23:06:04,329 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,329 INFO Parsing pair_id: 10375
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5542
2014-10-05 23:06:04,329 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5543
2014-10-05 23:06:04,329 WARNING Disjointers: I-93 and Rt.
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5540
2014-10-05 23:06:04,329 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5541
2014-10-05 23:06:04,329 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5546
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5547
2014-10-05 23:06:04,329 INFO Parsing pair_id: 5545
2014-10-05 23:06:04,329 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9502
2014-10-05 23:06:04,330 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9503
2014-10-05 23:06:04,330 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9500
2014-10-05 23:06:04,330 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9501
2014-10-05 23:06:04,330 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9506
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9507
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9504
2014-10-05 23:06:04,330 WARNING Disjointers: I-93 and Rt.
2014-10-05 23:06:04,330 INFO Parsing pair_id: 9505
2014-10-05 23:06:04,330 WARNING Disjointers: Rt. and I-93
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5555
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5554
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5557
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5556
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5551
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5550
2014-10-05 23:06:04,330 INFO Parsing pair_id: 5553
2014-10-05 23:06:04,331 INFO Parsing pair_id: 5552
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10240
2014-10-05 23:06:04,331 WARNING Disjointers: I-90 and I-495
2014-10-05 23:06:04,331 INFO Parsing pair_id: 5559
2014-10-05 23:06:04,331 INFO Parsing pair_id: 5558
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10245
2014-10-05 23:06:04,331 WARNING Disjointers: Rte and Rt.
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10092
2014-10-05 23:06:04,331 WARNING Disjointers: I-90 and I-395
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10091
2014-10-05 23:06:04,331 WARNING Disjointers: I-90 and I-290
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10090
2014-10-05 23:06:04,331 WARNING Disjointers: I-290 and I-90
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10499
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10498
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10497
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10496
2014-10-05 23:06:04,331 INFO Parsing pair_id: 10525
2014-10-05 23:06:04,331 WARNING Disjointers: I-93 and 93
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10364
2014-10-05 23:06:04,332 WARNING Disjointers: I-90 and I-93
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10361
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10239
2014-10-05 23:06:04,332 WARNING Disjointers: I-90 and I-495
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10363
2014-10-05 23:06:04,332 WARNING Disjointers: I-90 and I-93
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10362
2014-10-05 23:06:04,332 WARNING Disjointers: I-95 and I-90
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10238
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10088
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10089
2014-10-05 23:06:04,332 WARNING Disjointers: I-90 and I-84
2014-10-05 23:06:04,332 INFO Parsing pair_id: 10084
2014-10-05 23:06:04,333 WARNING Disjointers: I-495 and I-90
2014-10-05 23:06:04,333 INFO Parsing pair_id: 10085
2014-10-05 23:06:04,333 INFO Parsing pair_id: 10086
2014-10-05 23:06:04,333 INFO Parsing pair_id: 10087
2014-10-05 23:06:04,333 WARNING Disjointers: I-395 and I-90
2014-10-05 23:06:04,333 INFO Parsing pair_id: 10081
2014-10-05 23:06:04,333 WARNING Disjointers: I-84 and I-90
2014-10-05 23:06:04,333 INFO Parsing pair_id: 10082
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10083
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10178
2014-10-05 23:06:04,334 WARNING Disjointers: I-93 and Rte.
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10179
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5533
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5532
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5537
2014-10-05 23:06:04,334 WARNING Disjointers: I-93 and I-95
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5536
2014-10-05 23:06:04,334 WARNING Disjointers: I-95 and I-93
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10378
2014-10-05 23:06:04,334 WARNING Disjointers: I-90 and I-95
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10379
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10376
2014-10-05 23:06:04,334 INFO Parsing pair_id: 10377
2014-10-05 23:06:04,334 WARNING Disjointers: I-90 and I-95
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5539
2014-10-05 23:06:04,334 WARNING Disjointers: Rt. and I-95
2014-10-05 23:06:04,334 INFO Parsing pair_id: 5538
2014-10-05 23:06:04,335 WARNING Disjointers: I-95 and Rt.
2014-10-05 23:06:04,335 INFO Parsing pair_id: 10372
2014-10-05 23:06:04,335 WARNING Disjointers: I-495 and I-90
2014-10-05 23:06:04,335 INFO Parsing pair_id: 10373
2014-10-05 23:06:04,335 WARNING Disjointers: I-495 and I-90
2014-10-05 23:06:04,335 INFO Time elapsed for pair classification: 0.0121998786926
2014-10-05 23:06:04,335 INFO Others: 0
2014-10-05 23:06:04,335 INFO Intersectors: 84
2014-10-05 23:06:04,335 INFO Disjointers: 71
2014-10-05 23:06:04,335 INFO Total: 155
